Serial No.,Make,Model,Year,Fuel Type Group,Engine HP,Engine Cylinders,Transmission Type,Driving Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,Highway Mileage (mpg),City Mileage (mpg),Popularity Rating,MSRP
3524,Ford,E-Series Wagon,2013,flex-fuel,225,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,16,13,5657,29455
3525,Ford,E-Series Wagon,2013,flex-fuel,225,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,16,13,5657,31900
3526,Ford,E-Series Wagon,2014,flex-fuel,225,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,16,13,5657,32675
3527,Ford,E-Series Wagon,2014,flex-fuel,255,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,15,11,5657,37320
3528,Ford,E-Series Wagon,2014,flex-fuel,255,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,15,11,5657,36020
3529,Ford,E-Series Wagon,2014,flex-fuel,255,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,15,11,5657,35860
3530,Ford,E-Series Wagon,2014,flex-fuel,255,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,15,11,5657,33560
3531,Ford,E-Series Wagon,2014,flex-fuel,225,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,16,13,5657,30230
3532,Mercedes-Benz,E55 AMG,1999,unleaded,349,8,AUTOMATIC,rear wheel drive,4,Factory Tuner,Midsize,Sedan,21,15,617,5878
3533,Mercedes-Benz,E55 AMG,2000,unleaded,349,8,AUTOMATIC,rear wheel drive,4,Factory Tuner,Midsize,Sedan,21,15,617,6120
3534,Toyota,ECHO,2003,unleaded,108,4,MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,38,30,2031,10775
3535,Toyota,ECHO,2003,unleaded,108,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,36,28,2031,11575
3536,Toyota,ECHO,2003,unleaded,108,4,MANUAL,front wheel drive,2,Miscellaneous,Compact,Coupe,38,30,2031,10245
3537,Toyota,ECHO,2003,unleaded,108,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Coupe,36,28,2031,11045
3538,Toyota,ECHO,2004,unleaded,108,4,MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,38,30,2031,10885
3539,Toyota,ECHO,2004,unleaded,108,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,36,28,2031,11685
3540,Toyota,ECHO,2004,unleaded,108,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Coupe,36,28,2031,11155
3541,Toyota,ECHO,2004,unleaded,108,4,MANUAL,front wheel drive,2,Miscellaneous,Compact,Coupe,38,30,2031,10355
3542,Toyota,ECHO,2005,unleaded,108,4,MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,38,30,2031,10985
3543,Toyota,ECHO,2005,unleaded,108,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Coupe,36,28,2031,11255
3544,Toyota,ECHO,2005,unleaded,108,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,36,28,2031,11785
3545,Toyota,ECHO,2005,unleaded,108,4,MANUAL,front wheel drive,2,Miscellaneous,Compact,Coupe,38,30,2031,10455
3546,Mitsubishi,Eclipse Spyder,2010,unleaded,162,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Convertible,26,19,436,27799
3547,Mitsubishi,Eclipse Spyder,2010,unleaded,265,6,AUTOMATIC,front wheel drive,2,Performance,Compact,Convertible,24,16,436,32599
3548,Mitsubishi,Eclipse Spyder,2011,unleaded,265,6,AUTOMATIC,front wheel drive,2,Performance,Compact,Convertible,24,16,436,32599
3549,Mitsubishi,Eclipse Spyder,2011,unleaded,162,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Convertible,27,20,436,27999
3550,Mitsubishi,Eclipse Spyder,2012,unleaded,162,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Convertible,27,20,436,28299
3551,Mitsubishi,Eclipse Spyder,2012,unleaded,265,6,AUTOMATIC,front wheel drive,2,Performance,Compact,Convertible,24,16,436,32599
3552,Mitsubishi,Eclipse Spyder,2012,unleaded,162,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Convertible,27,20,436,27999
3553,Mitsubishi,Eclipse,2010,unleaded,162,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,27,20,436,24699
3554,Mitsubishi,Eclipse,2010,unleaded,162,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,20699
3555,Mitsubishi,Eclipse,2010,unleaded,265,6,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,24,16,436,29089
3556,Mitsubishi,Eclipse,2010,unleaded,162,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,27,20,436,21699
3557,Mitsubishi,Eclipse,2010,unleaded,265,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,25,16,436,28089
3558,Mitsubishi,Eclipse,2011,unleaded,162,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,24699
3559,Mitsubishi,Eclipse,2011,unleaded,162,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,19999
3560,Mitsubishi,Eclipse,2011,unleaded,162,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,18999
3561,Mitsubishi,Eclipse,2011,unleaded,265,6,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,25,17,436,29089
3562,Mitsubishi,Eclipse,2012,unleaded,162,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,19499
3563,Mitsubishi,Eclipse,2012,unleaded,162,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,20499
3564,Mitsubishi,Eclipse,2012,unleaded,162,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,24699
3565,Mitsubishi,Eclipse,2012,unleaded,265,6,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,25,17,436,29089
3566,Ford,Edge,2015,unleaded,245,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,20,5657,30095
3567,Ford,Edge,2015,unleaded,245,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,20,5657,33495
3568,Ford,Edge,2015,unleaded,245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,20,5657,28100
3569,Ford,Edge,2015,unleaded,245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,20,5657,31500
3570,Ford,Edge,2015,unleaded,315,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,17,5657,40095
3571,Ford,Edge,2015,unleaded,315,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,18,5657,38100
3572,Ford,Edge,2015,unleaded,245,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,20,5657,37595
3573,Ford,Edge,2015,unleaded,245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,20,5657,35600
3574,Ford,Edge,2016,unleaded,245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,20,5657,28700
3575,Ford,Edge,2016,unleaded,245,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,20,5657,30695
3576,Ford,Edge,2016,unleaded,245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,20,5657,31790
3577,Ford,Edge,2016,unleaded,245,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,20,5657,37595
3578,Ford,Edge,2016,unleaded,315,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,17,5657,40900
3579,Ford,Edge,2016,unleaded,245,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,20,5657,33785
3580,Ford,Edge,2016,unleaded,245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,20,5657,35600
3581,Ford,Edge,2017,unleaded,245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,29,21,5657,28950
3582,Ford,Edge,2017,unleaded,245,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,27,20,5657,37595
3583,Ford,Edge,2017,unleaded,315,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,17,5657,40900
3584,Ford,Edge,2017,unleaded,245,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,27,20,5657,30945
3585,Ford,Edge,2017,unleaded,245,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,27,20,5657,33785
3586,Ford,Edge,2017,unleaded,245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,29,20,5657,31790
3587,Ford,Edge,2017,unleaded,245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,29,20,5657,35600
3588,Oldsmobile,Eighty-Eight Royale,1993,unleaded,170,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,26,17,26,2000
3589,Oldsmobile,Eighty-Eight Royale,1994,unleaded,170,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,26,17,26,2000
3590,Oldsmobile,Eighty-Eight Royale,1995,unleaded,205,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,26,17,26,2000
3591,Oldsmobile,Eighty-Eight Royale,1995,unleaded,225,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,26,17,26,2000
3592,Oldsmobile,Eighty-Eight,1997,unleaded,205,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,26,17,26,2000
3593,Oldsmobile,Eighty-Eight,1998,unleaded,205,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,27,17,26,2000
3594,Oldsmobile,Eighty-Eight,1998,unleaded,205,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,27,17,26,2098
3595,Oldsmobile,Eighty-Eight,1999,unleaded,205,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,27,17,26,2210
3596,Oldsmobile,Eighty-Eight,1999,unleaded,205,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,27,17,26,2107
3597,Oldsmobile,Eighty-Eight,1999,unleaded,205,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Large,Sedan,27,17,26,2320
3598,Hyundai,Elantra Coupe,2013,unleaded,145,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Coupe,37,27,1439,18595
3599,Hyundai,Elantra Coupe,2013,unleaded,148,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Coupe,37,27,1439,18595
3600,Hyundai,Elantra Coupe,2013,unleaded,148,4,MANUAL,front wheel drive,2,Miscellaneous,Compact,Coupe,38,28,1439,19895
3601,Hyundai,Elantra Coupe,2013,unleaded,145,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Coupe,37,27,1439,20895
3602,Hyundai,Elantra Coupe,2013,unleaded,148,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Coupe,37,27,1439,20895
3603,Hyundai,Elantra Coupe,2013,unleaded,148,4,MANUAL,front wheel drive,2,Miscellaneous,Compact,Coupe,38,28,1439,17595
3604,Hyundai,Elantra Coupe,2014,unleaded,166,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Coupe,34,24,1439,19600
3605,Hyundai,Elantra Coupe,2014,unleaded,173,4,AUTOMATIC,front wheel drive,2,Miscellaneous,Compact,Coupe,34,24,1439,19600
3606,Hyundai,Elantra GT,2015,unleaded,173,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,24,1439,19800
3607,Hyundai,Elantra GT,2015,unleaded,173,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,24,1439,18800
3608,Hyundai,Elantra GT,2016,unleaded,173,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,24,1439,18800
3609,Hyundai,Elantra GT,2016,unleaded,173,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,24,1439,19800
3610,Hyundai,Elantra GT,2017,unleaded,173,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,32,24,1439,18800
3611,Hyundai,Elantra GT,2017,unleaded,173,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,32,24,1439,19800
3612,Hyundai,Elantra Touring,2010,unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,30,23,1439,17195
3613,Hyundai,Elantra Touring,2010,unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,30,23,1439,19795
3614,Hyundai,Elantra Touring,2010,unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,23,1439,15995
3615,Hyundai,Elantra Touring,2010,unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,23,1439,18995
3616,Hyundai,Elantra Touring,2011,unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,23,1439,15995
3617,Hyundai,Elantra Touring,2011,unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,23,1439,19495
3618,Hyundai,Elantra Touring,2011,unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,30,23,1439,17195
3619,Hyundai,Elantra Touring,2011,unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,30,23,1439,20295
3620,Hyundai,Elantra Touring,2012,unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,30,23,1439,17195
3621,Hyundai,Elantra Touring,2012,unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,23,1439,15995
3622,Hyundai,Elantra Touring,2012,unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,23,1439,19495
3623,Hyundai,Elantra Touring,2012,unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,30,23,1439,20295
3624,Hyundai,Elantra,2015,unleaded,173,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,35,24,1439,22600
3625,Hyundai,Elantra,2015,unleaded,145,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,37,27,1439,21700
3626,Hyundai,Elantra,2015,unleaded,145,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,38,28,1439,18250
3627,Hyundai,Elantra,2015,unleaded,145,4,MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,37,27,1439,17250
3628,Hyundai,Elantra,2015,unleaded,166,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,35,24,1439,22600
3629,Hyundai,Elantra,2015,unleaded,173,4,MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,34,24,1439,21600
3630,Hyundai,Elantra,2016,unleaded,173,4,AUTOMATIC,front wheel drive,4,Performance,Compact,Sedan,35,24,1439,21250
3631,Hyundai,Elantra,2016,unleaded,145,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,38,28,1439,18250
3632,Hyundai,Elantra,2016,unleaded,166,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,35,24,1439,21250
3633,Hyundai,Elantra,2016,unleaded,145,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,37,27,1439,21700
3634,Hyundai,Elantra,2016,unleaded,173,4,MANUAL,front wheel drive,4,Performance,Compact,Sedan,34,24,1439,20250
3635,Hyundai,Elantra,2016,unleaded,145,4,MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,37,27,1439,17250
3636,Hyundai,Elantra,2016,unleaded,145,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,38,28,1439,19700
3637,Hyundai,Elantra,2017,unleaded,147,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,38,29,1439,18150
3638,Hyundai,Elantra,2017,unleaded,147,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,37,28,1439,22350
3639,Hyundai,Elantra,2017,unleaded,128,4,AUTOMATED_MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,40,32,1439,20650
3640,Hyundai,Elantra,2017,unleaded,147,4,MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,36,26,1439,17150
3641,Hyundai,Elantra,2017,unleaded,201,4,AUTOMATED_MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,33,26,1439,22750
3642,Hyundai,Elantra,2017,unleaded,201,4,MANUAL,front wheel drive,4,Miscellaneous,Compact,Sedan,30,22,1439,21650
3643,Hyundai,Elantra,2017,unleaded,147,4,AUTOMATIC,front wheel drive,4,Miscellaneous,Compact,Sedan,38,29,1439,20250
3644,Cadillac,Eldorado,2000,unleaded,275,8,AUTOMATIC,front wheel drive,2,Luxury,Large,Coupe,25,15,1624,2905
3645,Cadillac,Eldorado,2000,unleaded,300,8,AUTOMATIC,front wheel drive,2,Luxury,Large,Coupe,25,15,1624,3257
3646,Cadillac,Eldorado,2001,unleaded,300,8,AUTOMATIC,front wheel drive,2,Luxury,Large,Coupe,25,15,1624,44011
3647,Cadillac,Eldorado,2001,unleaded,275,8,AUTOMATIC,front wheel drive,2,Luxury,Large,Coupe,25,15,1624,40436
3648,Cadillac,Eldorado,2002,unleaded,300,8,AUTOMATIC,front wheel drive,2,Luxury,Large,Coupe,25,16,1624,47660
3649,Cadillac,Eldorado,2002,unleaded,300,8,AUTOMATIC,front wheel drive,2,Luxury,Large,Coupe,25,16,1624,45265
3650,Cadillac,Eldorado,2002,unleaded,275,8,AUTOMATIC,front wheel drive,2,Luxury,Large,Coupe,25,16,1624,42130
3651,Buick,Electra,1990,unleaded,165,6,AUTOMATIC,front wheel drive,4,Miscellaneous,Midsize,Sedan,25,16,155,2000
3652,Honda,Element,2009,unleaded,166,4,MANUAL,all wheel drive,4,Crossover,Compact,4dr SUV,23,18,2202,22785
3653,Honda,Element,2009,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,25770
3654,Honda,Element,2009,unleaded,166,4,MANUAL,front wheel drive,4,Crossover,Compact,4dr SUV,23,18,2202,23270
3655,Honda,Element,2009,unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,23585
3656,Honda,Element,2009,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,20275
3657,Honda,Element,2009,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,24085
3658,Honda,Element,2009,unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,25285
3659,Honda,Element,2009,unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,21475
3660,Honda,Element,2009,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,24070
3661,Honda,Element,2009,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,22385
3662,Honda,Element,2010,unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,23885
3663,Honda,Element,2010,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,22635
3664,Honda,Element,2010,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,24335
3665,Honda,Element,2010,unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,25585
3666,Honda,Element,2010,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,20525
3667,Honda,Element,2010,unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,21775
3668,Honda,Element,2010,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,24320
3669,Honda,Element,2011,unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,24185
3670,Honda,Element,2011,unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,22075
3671,Honda,Element,2011,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,20825
3672,Honda,Element,2011,unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,22935
3673,Lotus,Elise,2009,unleaded,189,4,MANUAL,rear wheel drive,2,Exotic,Compact,Convertible,27,21,613,43995
3674,Lotus,Elise,2009,unleaded,218,4,MANUAL,rear wheel drive,2,Exotic,Compact,Convertible,26,20,613,54990
3675,Lotus,Elise,2009,unleaded,189,4,MANUAL,rear wheel drive,2,Exotic,Compact,Convertible,27,21,613,47250
3676,Lotus,Elise,2010,unleaded,189,4,MANUAL,rear wheel drive,2,Exotic,Compact,Convertible,27,21,613,47250
3677,Lotus,Elise,2010,unleaded,218,4,MANUAL,rear wheel drive,2,Exotic,Compact,Convertible,26,20,613,54990
3678,Lotus,Elise,2011,unleaded,189,4,MANUAL,rear wheel drive,2,Exotic,Compact,Convertible,27,21,613,51845
3679,Lotus,Elise,2011,unleaded,217,4,MANUAL,rear wheel drive,2,Exotic,Compact,Convertible,26,20,613,54990
3680,Lotus,Elise,2011,unleaded,217,4,MANUAL,rear wheel drive,2,Exotic,Compact,Convertible,26,20,613,57950
3681,Buick,Enclave,2015,unleaded,288,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,16,155,49305
3682,Buick,Enclave,2015,unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,155,39050
3683,Buick,Enclave,2015,unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,155,43450
3684,Buick,Enclave,2015,unleaded,288,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,16,155,45450
3685,Buick,Enclave,2015,unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,155,47305
3686,Buick,Enclave,2016,unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,43660
3687,Buick,Enclave,2016,unleaded,288,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,49515
3688,Buick,Enclave,2016,unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,39065
3689,Buick,Enclave,2016,unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,47515
3690,Buick,Enclave,2016,unleaded,288,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,45660
3691,Buick,Enclave,2017,unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,39065
3692,Buick,Enclave,2017,unleaded,288,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,45765
3693,Buick,Enclave,2017,unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,47625
3694,Buick,Enclave,2017,unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,43765
3695,Buick,Enclave,2017,unleaded,288,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,15,155,49625
3696,Buick,Encore,2015,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,155,29450
3697,Buick,Encore,2015,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,155,27655
3698,Buick,Encore,2015,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,155,25565
3699,Buick,Encore,2015,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,29435
3700,Buick,Encore,2015,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,27950
3701,Buick,Encore,2015,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,24065
3702,Buick,Encore,2015,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,26155
3703,Buick,Encore,2015,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,155,30935
3704,Buick,Encore,2016,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,155,31285
3705,Buick,Encore,2016,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,155,25565
3706,Buick,Encore,2016,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,28300
3707,Buick,Encore,2016,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,29785
3708,Buick,Encore,2016,unleaded,153,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,32,26,155,28850
3709,Buick,Encore,2016,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,24065
3710,Buick,Encore,2016,unleaded,153,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,34,28,155,27350
3711,Buick,Encore,2016,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,155,29800
3712,Buick,Encore,2016,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,26355
3713,Buick,Encore,2016,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,155,27855
3714,Buick,Encore,2017,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,24,155,31965
3715,Buick,Encore,2017,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,26865
3716,Buick,Encore,2017,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,24,155,30565
3717,Buick,Encore,2017,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,34,28,155,25565
3718,Buick,Encore,2017,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,31,26,155,27065
3719,Buick,Encore,2017,unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,24,155,28365
3720,Buick,Encore,2017,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,30465
3721,Buick,Encore,2017,unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,24365
